SID,model
SID-119321,Senograph DS VERSION ADS_54.11
SID-119375,Senograph DS VERSION ADS_54.11
SID-119467,Senograph DS VERSION ADS_54.11
SID-119468,Senographe Essential VERSION ADS_54.11
SID-119587,Senograph DS VERSION ADS_54.11
SID-119754,Senograph DS ADS_43.10.1
SID-119795,Senographe Essential VERSION ADS_54.11
SID-119850,Senographe Essential VERSION ADS_54.11
SID-119912,Senograph DS VERSION ADS_54.11
SID-119932,Senograph DS VERSION ADS_54.11
SID-119949,Senograph DS VERSION ADS_54.11
SID-119980,Senographe Essential VERSION ADS_54.11
SID-119987,Senographe Essential VERSION ADS_54.11
SID-119995,Senograph DS VERSION ADS_54.11
SID-120038,Senograph DS ADS_43.10.1
SID-120118,Senograph DS VERSION ADS_54.11
SID-120171,Senographe Essential VERSION ADS_54.11
SID-120243,Senographe Essential VERSION ADS_54.11
SID-120292,Senographe Essential VERSION ADS_54.11
SID-120293,Senograph DS VERSION ADS_54.11
SID-120349,Senographe Essential VERSION ADS_54.11
SID-120353,Senograph DS VERSION ADS_54.11
SID-120381,Senograph DS VERSION ADS_54.11
SID-120385,Senographe Essential VERSION ADS_54.11
SID-120393,Senograph DS VERSION ADS_54.11
SID-120407,Senographe Essential VERSION ADS_54.11
SID-120420,Senographe Essential VERSION ADS_54.11
SID-120424,Senograph DS VERSION ADS_54.11
SID-120461,Senograph DS VERSION ADS_54.11
SID-120491,Senograph DS VERSION ADS_54.11
SID-120503,Senograph DS VERSION ADS_54.11
SID-120504,Senograph DS VERSION ADS_54.11
SID-120510,Senographe Essential VERSION ADS_54.11
SID-120521,Senographe Essential VERSION ADS_54.11
SID-120527,Senographe Essential VERSION ADS_54.11
SID-120554,Senographe Essential VERSION ADS_54.11
SID-120656,Senographe Essential VERSION ADS_54.11
SID-120660,Senographe Essential VERSION ADS_54.11
SID-120709,Senograph DS VERSION ADS_54.11
SID-120710,Senographe Essential VERSION ADS_54.11
SID-120732,Senographe Essential VERSION ADS_54.11
SID-120734,Senographe Essential VERSION ADS_54.11
SID-120747,Senograph DS VERSION ADS_54.11
SID-120761,Senograph DS ADS_43.10.1
SID-120836,Senograph DS VERSION ADS_54.11
SID-120857,Senographe Essential VERSION ADS_54.11
SID-120874,Senograph DS VERSION ADS_54.11
SID-120885,Senograph DS VERSION ADS_54.11
SID-120957,Senograph DS VERSION ADS_54.11
SID-120960,Senograph DS VERSION ADS_54.11
SID-120968,Senographe Essential VERSION ADS_54.11
SID-120988,Senograph DS VERSION ADS_54.11
SID-121014,Senographe Essential VERSION ADS_54.11
SID-121027,Senograph DS VERSION ADS_54.11
SID-121052,Senograph DS VERSION ADS_54.11
SID-121099,Senograph DS VERSION ADS_54.11
SID-121120,Senographe Essential VERSION ADS_54.11
SID-121123,Senograph DS VERSION ADS_54.11
SID-121153,Senographe Essential VERSION ADS_54.11
SID-121172,Senographe Essential VERSION ADS_54.11
SID-121182,Senographe Essential VERSION ADS_54.11
SID-121221,Senographe Essential VERSION ADS_54.11
SID-121222,Senographe Essential VERSION ADS_54.11
SID-121250,Senographe Essential VERSION ADS_54.11
SID-121292,Senographe Essential VERSION ADS_54.11
SID-121306,Senograph DS VERSION ADS_54.11
SID-121313,Senograph DS VERSION ADS_54.11
SID-121316,Senograph DS VERSION ADS_54.11
SID-121393,Senograph DS ADS_43.10.1
SID-121420,Senographe Essential VERSION ADS_54.11
SID-121421,Senograph DS VERSION ADS_54.11
SID-121429,Senograph DS VERSION ADS_54.11
SID-121443,Senographe Essential VERSION ADS_54.11
SID-121449,Senograph DS VERSION ADS_54.11
SID-121452,Senographe Essential VERSION ADS_54.11
SID-121503,Senograph DS VERSION ADS_54.11
SID-121546,Senographe Essential VERSION ADS_54.11
SID-121576,Senographe Essential VERSION ADS_54.11
SID-121582,Senograph DS VERSION ADS_54.11
SID-121594,Senograph DS ADS_43.10.1
SID-121602,Senograph DS VERSION ADS_54.11
SID-121646,Senograph DS ADS_43.10.1
SID-121670,Senographe Essential VERSION ADS_54.11
SID-121683,Senographe Essential VERSION ADS_54.11
SID-121734,Senograph DS ADS_43.10.1
SID-121754,Senographe Essential VERSION ADS_54.11
SID-121788,Senographe Essential VERSION ADS_54.11
SID-121805,Senographe Essential VERSION ADS_54.11
SID-121808,Senographe Essential VERSION ADS_54.11
SID-121824,Senographe Essential VERSION ADS_54.11
SID-121829,Senograph DS VERSION ADS_54.11
SID-121858,Senograph DS VERSION ADS_54.11
SID-121864,Senographe Essential VERSION ADS_54.11
SID-121867,Senograph DS VERSION ADS_54.11
SID-121995,Senographe Essential VERSION ADS_54.11
SID-122005,Senographe Essential VERSION ADS_54.11
SID-122007,Senographe Essential VERSION ADS_54.11
SID-122036,Senograph DS VERSION ADS_54.11
SID-122075,Senographe Essential VERSION ADS_54.11
SID-122097,Senograph DS VERSION ADS_54.11
SID-122113,Senographe Essential VERSION ADS_54.11
SID-122123,Senograph DS VERSION ADS_54.11
SID-122126,Senographe Essential VERSION ADS_54.11
SID-122160,Senographe Essential VERSION ADS_54.11
SID-122175,Senographe Essential VERSION ADS_54.11
SID-122203,Senographe Essential VERSION ADS_54.11
SID-122296,Senograph DS ADS_43.10.1
SID-122315,Senographe Essential VERSION ADS_54.11
SID-122332,Senograph DS VERSION ADS_54.11
SID-122339,Senographe Essential VERSION ADS_54.11
SID-122341,Senograph DS VERSION ADS_54.11
SID-122358,Senograph DS VERSION ADS_54.11
SID-122431,Senograph DS VERSION ADS_54.11
SID-122437,Senographe Essential VERSION ADS_54.11
SID-122440,Senograph DS ADS_43.10.1
SID-122493,Senographe Essential VERSION ADS_54.11
SID-122499,Senograph DS VERSION ADS_54.11
SID-122523,Senograph DS VERSION ADS_54.11
SID-122558,Senograph DS VERSION ADS_54.11
SID-122610,Senographe Essential VERSION ADS_54.11
SID-122621,Senograph DS VERSION ADS_54.11
SID-122625,Senograph DS VERSION ADS_54.11
SID-122643,Senograph DS VERSION ADS_54.11
SID-122650,Senograph DS VERSION ADS_54.11
SID-122664,Senograph DS VERSION ADS_54.11
SID-122678,Senographe Essential VERSION ADS_54.11
SID-122688,Senographe Essential VERSION ADS_54.11
SID-122709,Senographe Essential VERSION ADS_54.11
SID-122714,Senographe Essential VERSION ADS_54.11
SID-122727,Senograph DS VERSION ADS_54.11
SID-122736,Senograph DS VERSION ADS_54.11
SID-122764,Senograph DS VERSION ADS_54.11
SID-122778,Senograph DS VERSION ADS_54.11
SID-122782,Senographe Essential VERSION ADS_54.11
SID-122807,Senograph DS VERSION ADS_54.11
SID-122819,Senographe Essential VERSION ADS_54.11
SID-122825,Senographe Essential VERSION ADS_54.11
SID-122856,Senograph DS VERSION ADS_54.11
SID-122894,Senographe Essential VERSION ADS_54.11
SID-122923,Senographe Essential VERSION ADS_54.11
SID-122924,Senograph DS VERSION ADS_54.11
SID-122991,Senographe Essential VERSION ADS_54.11
SID-123005,Senograph DS VERSION ADS_54.11
SID-123100,Senograph DS VERSION ADS_54.11
SID-123117,Senographe Essential VERSION ADS_54.11
SID-123146,Senograph DS VERSION ADS_54.11
SID-123149,Senographe Essential VERSION ADS_54.11
SID-123181,Senographe Essential VERSION ADS_54.11
SID-123285,Senographe Essential VERSION ADS_54.11
SID-123299,Senograph DS VERSION ADS_54.11
SID-123351,Senograph DS VERSION ADS_54.11
SID-123394,Senograph DS VERSION ADS_54.11
SID-123478,Senograph DS VERSION ADS_54.11
SID-123523,Senographe Essential VERSION ADS_54.11
SID-123561,Senographe Essential VERSION ADS_54.11
SID-123576,Senograph DS VERSION ADS_54.11
SID-123577,Senograph DS VERSION ADS_54.11
SID-123663,Senograph DS VERSION ADS_54.11
SID-123684,Senographe Essential VERSION ADS_54.11
SID-123686,Senographe Essential VERSION ADS_54.11
SID-123740,Senograph DS VERSION ADS_54.11
SID-123753,Senograph DS VERSION ADS_54.11
SID-123755,Senograph DS VERSION ADS_54.11
SID-123817,Senograph DS VERSION ADS_54.11
SID-123887,Senographe Essential VERSION ADS_54.11
SID-123936,Senograph DS VERSION ADS_54.11
SID-123963,Senograph DS VERSION ADS_54.11
SID-123999,Senograph DS VERSION ADS_54.11
SID-124085,Senographe Essential VERSION ADS_54.11
SID-124141,Senograph DS VERSION ADS_54.11
SID-124199,Senograph DS VERSION ADS_54.11
SID-124245,Senographe Essential VERSION ADS_54.11
SID-124339,Senographe Essential VERSION ADS_54.11
SID-124393,Senographe Essential VERSION ADS_54.11
SID-124489,Senographe Essential VERSION ADS_54.11
SID-124583,Senographe Essential VERSION ADS_54.11
SID-124649,Senograph DS VERSION ADS_54.11
SID-124706,Senograph DS VERSION ADS_54.11
SID-124769,Senograph DS VERSION ADS_54.11
SID-124783,Senographe Essential VERSION ADS_54.11
SID-124835,Senograph DS VERSION ADS_54.11
SID-124930,Senographe Essential VERSION ADS_54.11
SID-124955,Senograph DS VERSION ADS_54.11
SID-124989,Senograph DS VERSION ADS_54.11
SID-124990,Senographe Essential VERSION ADS_54.11
SID-125011,Senograph DS VERSION ADS_54.11
SID-125030,Senograph DS VERSION ADS_54.11
SID-125195,Senographe Essential VERSION ADS_54.11
SID-125325,Senographe Essential VERSION ADS_54.11
SID-125377,Senographe Essential VERSION ADS_54.11
SID-125400,Senographe Essential VERSION ADS_54.11
SID-125521,Senograph DS VERSION ADS_54.11
SID-125643,Senograph DS VERSION ADS_54.11
SID-125759,Senograph DS VERSION ADS_54.11
SID-125845,Senographe Essential VERSION ADS_54.11
SID-125891,Senographe Essential VERSION ADS_54.11
SID-126079,Senograph DS VERSION ADS_54.11
SID-126140,Senographe Essential VERSION ADS_54.11
SID-126185,Senograph DS VERSION ADS_54.11
SID-126222,Senograph DS VERSION ADS_54.11
SID-126228,Senographe Essential VERSION ADS_54.11
SID-126248,Senographe Essential VERSION ADS_54.11
SID-126298,Senographe Essential VERSION ADS_54.11
SID-126356,Senographe Essential VERSION ADS_54.11
SID-126575,Senographe Essential VERSION ADS_54.11
SID-126634,Senograph DS VERSION ADS_54.11
SID-126784,Senograph DS VERSION ADS_54.11
SID-126836,Senograph DS VERSION ADS_54.11
SID-126983,Senographe Essential VERSION ADS_54.11
SID-127047,Senographe Essential VERSION ADS_54.11
SID-127058,Senograph DS VERSION ADS_54.11
SID-127155,Senographe Essential VERSION ADS_54.11
SID-127185,Senograph DS ADS_43.10.1
SID-127187,Senograph DS VERSION ADS_54.11
SID-127221,Senograph DS VERSION ADS_54.11
SID-127239,Senographe Essential VERSION ADS_54.11
SID-127264,Senographe Essential VERSION ADS_54.11
SID-127281,Senographe Essential VERSION ADS_54.11
SID-127288,Senographe Essential VERSION ADS_54.11
SID-127337,Senographe Essential VERSION ADS_54.11
SID-127391,Senograph DS VERSION ADS_54.11
SID-127394,Senographe Essential VERSION ADS_54.11
SID-127424,Senograph DS VERSION ADS_54.11
SID-127425,Senographe Essential VERSION ADS_54.11
SID-127531,Senographe Essential VERSION ADS_54.11
SID-127540,Senographe Essential VERSION ADS_54.11
SID-127586,Senographe Essential VERSION ADS_54.11
SID-127588,Senographe Essential VERSION ADS_54.11
SID-127620,Senographe Essential VERSION ADS_54.11
SID-127667,Senographe Essential VERSION ADS_54.11
SID-127787,Senograph DS VERSION ADS_54.11
SID-127800,Senograph DS VERSION ADS_54.11
SID-127808,Senographe Essential VERSION ADS_54.11
SID-127820,Senographe Essential VERSION ADS_54.11
SID-127834,Senograph DS VERSION ADS_54.11
SID-127881,Senographe Essential VERSION ADS_54.11
SID-127896,Senograph DS VERSION ADS_54.11
SID-127960,Senograph DS VERSION ADS_54.11
SID-128079,Senograph DS VERSION ADS_54.11
SID-128083,Senograph DS ADS_43.10.1
SID-128155,Senograph DS VERSION ADS_54.11
SID-128395,Senograph DS VERSION ADS_54.11
SID-128402,Senograph DS ADS_43.10.1
SID-128409,Senograph DS VERSION ADS_54.11
SID-128472,Senographe Essential VERSION ADS_54.11
SID-128547,Senographe Essential VERSION ADS_54.11
SID-128731,Senograph DS VERSION ADS_54.11
SID-128768,Senograph DS VERSION ADS_54.11
SID-128796,Senograph DS VERSION ADS_54.11
SID-128801,Senograph DS VERSION ADS_54.11
SID-128879,Senographe Essential VERSION ADS_54.11
SID-128884,Senographe Essential VERSION ADS_54.11
SID-128926,Senograph DS VERSION ADS_54.11
SID-128949,Senograph DS ADS_43.10.1
SID-128952,Senograph DS VERSION ADS_54.11
SID-128993,Senographe Essential VERSION ADS_54.11
SID-129182,Senographe Essential VERSION ADS_54.11
SID-129203,Senographe Essential VERSION ADS_54.11
SID-129371,Senograph DS VERSION ADS_54.11
SID-129443,Senograph DS VERSION ADS_54.11
SID-129482,Senograph DS VERSION ADS_54.11
SID-129503,Senographe Essential VERSION ADS_54.11
SID-129504,Senographe Essential VERSION ADS_54.11
SID-129516,Senographe Essential VERSION ADS_54.11
SID-129574,Senographe Essential VERSION ADS_54.11
SID-129615,Senograph DS VERSION ADS_54.11
SID-130003,Senograph DS VERSION ADS_54.11
SID-130101,Senographe Essential VERSION ADS_54.11
SID-130122,Senograph DS VERSION ADS_54.11
SID-130161,Senograph DS VERSION ADS_54.11
SID-130162,Senographe Essential VERSION ADS_54.11
SID-130267,Senograph DS VERSION ADS_54.11
SID-130373,Senograph DS VERSION ADS_54.11
SID-130460,Senograph DS VERSION ADS_54.11
SID-130469,Senograph DS VERSION ADS_54.11
SID-130653,Senograph DS VERSION ADS_54.11
SID-130655,Senographe Essential VERSION ADS_54.11
SID-130662,Senographe Essential VERSION ADS_54.11
SID-130671,Senograph DS VERSION ADS_54.11
SID-130720,Senographe Essential VERSION ADS_54.11
SID-130807,Senograph DS VERSION ADS_54.11
SID-130911,Senographe Essential VERSION ADS_54.11
SID-131106,Senographe Essential VERSION ADS_54.11
SID-131162,Senographe Essential VERSION ADS_54.11
SID-131182,Senograph DS VERSION ADS_54.11
SID-131264,Senographe Essential VERSION ADS_54.11
SID-131337,Senograph DS VERSION ADS_54.11
SID-131383,Senograph DS VERSION ADS_54.11
SID-131491,Senographe Essential VERSION ADS_54.11
SID-131571,Senograph DS VERSION ADS_54.11
SID-131602,Senographe Essential VERSION ADS_54.11
SID-131615,Senographe Essential VERSION ADS_54.11
SID-131631,Senographe Essential VERSION ADS_54.11
SID-131668,Senograph DS VERSION ADS_54.11
SID-131683,Senograph DS VERSION ADS_54.11
SID-131685,Senograph DS VERSION ADS_54.11
SID-131687,Senograph DS VERSION ADS_54.11
SID-131730,Senograph DS VERSION ADS_54.11
SID-131819,Senograph DS VERSION ADS_54.11
SID-131863,Senograph DS VERSION ADS_54.11
SID-132013,Senograph DS VERSION ADS_54.11
SID-132036,Senograph DS VERSION ADS_54.11
SID-132045,Senograph DS VERSION ADS_54.11
SID-132085,Senograph DS VERSION ADS_54.11
SID-132106,Senograph DS VERSION ADS_54.11
SID-132145,Senograph DS VERSION ADS_54.11
SID-132165,Senographe Essential VERSION ADS_54.11
SID-132224,Senographe Essential VERSION ADS_54.11
SID-132256,Senographe Essential VERSION ADS_54.11
SID-132292,Senograph DS VERSION ADS_54.11
SID-132340,Senograph DS VERSION ADS_54.11
SID-132450,Senograph DS VERSION ADS_54.11
SID-132462,Senograph DS VERSION ADS_54.11
SID-132510,Senograph DS VERSION ADS_54.11
SID-132570,Senographe Essential VERSION ADS_54.11
SID-132653,Senographe Essential VERSION ADS_54.11
SID-132849,Senograph DS VERSION ADS_54.11
SID-132906,Senographe Essential VERSION ADS_54.11
SID-133080,Senographe Essential VERSION ADS_54.11
SID-133165,Senographe Essential VERSION ADS_54.11
SID-133218,Senograph DS VERSION ADS_54.11
SID-133249,Senographe Essential VERSION ADS_54.11
SID-133265,Senographe Essential VERSION ADS_54.11
SID-133345,Senographe Essential VERSION ADS_54.11
SID-133366,Senograph DS VERSION ADS_54.11
SID-133382,Senographe Essential VERSION ADS_54.11
SID-133385,Senograph DS VERSION ADS_54.11
SID-133552,Senograph DS VERSION ADS_54.11
SID-133578,Senograph DS VERSION ADS_54.11
SID-133583,Senograph DS VERSION ADS_54.11
SID-133612,Senographe Essential VERSION ADS_54.11
SID-133687,Senograph DS VERSION ADS_54.11
SID-133845,Senographe Essential VERSION ADS_54.11
SID-133885,Senograph DS VERSION ADS_54.11
SID-133914,Senographe Essential VERSION ADS_54.11
SID-134208,Senographe Essential VERSION ADS_54.11
SID-134275,Senographe Essential VERSION ADS_54.11
SID-134364,Senographe Essential VERSION ADS_54.11
SID-134372,Senographe Essential VERSION ADS_54.11
SID-134416,Senographe Essential VERSION ADS_54.11
SID-134436,Senographe Essential VERSION ADS_54.11
SID-134490,Senograph DS VERSION ADS_54.11
SID-134492,Senograph DS VERSION ADS_54.11
SID-134545,Senograph DS VERSION ADS_54.11
SID-134593,Senograph DS VERSION ADS_54.11
SID-134659,Senograph DS VERSION ADS_54.11
SID-134734,Senograph DS VERSION ADS_54.11
SID-134794,Senographe Essential VERSION ADS_54.11
SID-134816,Senograph DS VERSION ADS_54.11
SID-134880,Senograph DS VERSION ADS_54.11
SID-134913,Senographe Essential VERSION ADS_54.11
SID-134968,Senograph DS VERSION ADS_54.11
SID-135005,Senograph DS VERSION ADS_54.11
SID-135055,Senograph DS VERSION ADS_54.11
SID-135203,Senographe Essential VERSION ADS_54.11
SID-135338,Senographe Essential VERSION ADS_54.11
SID-135355,Senographe Essential VERSION ADS_54.11
SID-135400,Senograph DS VERSION ADS_54.11
SID-135518,Senograph DS VERSION ADS_54.11
SID-135693,Senograph DS VERSION ADS_54.11
SID-135722,Senograph DS VERSION ADS_54.11
SID-135739,Senographe Essential VERSION ADS_54.11
SID-135889,Senograph DS VERSION ADS_54.11
SID-136191,Senographe Essential VERSION ADS_54.11
SID-136274,Senograph DS VERSION ADS_54.11
SID-136324,Senograph DS VERSION ADS_54.11
SID-136417,Senograph DS VERSION ADS_54.11
SID-136500,Senograph DS VERSION ADS_54.11
SID-136946,Senographe Essential VERSION ADS_54.11
SID-136967,Senograph DS VERSION ADS_54.11
SID-137237,Senograph DS VERSION ADS_54.11
SID-137294,Senographe Essential VERSION ADS_54.11
SID-137486,Senograph DS VERSION ADS_54.11
SID-137509,Senographe Essential VERSION ADS_54.11
SID-137600,Senographe Essential VERSION ADS_54.11
SID-137612,Senographe Essential VERSION ADS_54.11
SID-137764,Senograph DS VERSION ADS_54.11
SID-137773,Senograph DS VERSION ADS_54.11
SID-137858,Senographe Essential VERSION ADS_54.11
SID-138012,Senograph DS VERSION ADS_54.11
SID-138027,Senographe Essential VERSION ADS_54.11
